name,semrush_profile,twitter,linkedin,facebook,instagram,website,job_title,summary,rank_name,alltime_rank_posts,alltime_rank_comments
A.J. Ghergich,https://www.semrush.com/user/146125793/,https://twitter.com/SEO/,https://www.linkedin.com/in/ajghergich/,,,https://brado.net,Founder at Brado,A.J. Ghergich is the CTO of Brado. Follow him at @SEO on Twitter for SEO tips and cat gifs.,Superstar,1,24
Bill Widmer,https://www.semrush.com/user/146424785/,https://twitter.com/TheBillWidmer/,https://www.linkedin.com/in/BillWidmer/,https://www.facebook.com/TheBillWidmer/,,https://billwidmer.com,Content Marketing Expert,"Bill Widmer is a content marketing expert, consultant, and freelance writer. Bill has over four years' experience helping businesses generate more traffic, leads, and conversions from content marketing. He's currently working on creating a course on content marketing to help small business owners create, promote, and profit from content.",Master,2,99
James Brockbank,https://www.semrush.com/user/146886913/,https://twitter.com/brockbankjames/,https://www.linkedin.com/in/james-brockbank/,,,https://digitaloft.co.uk,Managing Director at Digitaloft,"James is Managing Director of award-winning digital PR and SEO agency, Digitaloft, and has been involved in search marketing since the mid-2000s. He's a regular writer on topics including link building, content marketing and eCommerce, having previously contributed to the likes of Search Engine Journal.",Legend,3,110
Judith Lewis,https://www.semrush.com/user/147868609/,https://twitter.com/judithlewis/,,,https://www.instagram.com/decabbit/,http://www.decabbit.com,Founder at Decabbit Consultancy,"Judith is a renowned writer, trainer, blogger and a digital and media consultant specialising in applying strategic understanding of digital technologies to help businesses innovate and optimise their effectiveness within the new, networked communications environment.
She is a regular speaker around the world on SEO, content strategy, link building, PPC, and digital strategy, a contributor to the Huffington Post, and has been recognised by her peers as one of the most influential people in the UK digital industry. 
Judith judges the MENA, EU, US and UK Search Awards, an industry leading award and has every year since their inception. She has worked with market-leading global businesses including Google, Orange, COI, NatWest/RBS, National Gallery, CIPD, Fidelity, GalaCoral, NBC Universal, Readers Digest, Bayer, Family Search, Amadeus, AMD, AmEx, TotalJobs, Virgin.com, Virgin Startup & more.
She has over 20 years of experience, predating Google in her entry into the market and now runs her own consultancy. She has worked at Centaur Publishing, i-level, & Beyond before setting up her own consultancy. Judith also blogs about chocolate, helps with London Girl Geek Dinners, was a founding Modern Muse, and has contributed to the book “Pimp My Site” and the Econsultancy guide to Paid Search. She is currently working on updating the Econsultancy Best Practice guide to SEO and teaches the advanced SEO course as well as the Paid Search courses.",Legend,4,7
Julia McCoy,https://www.semrush.com/user/145716721/,https://twitter.com/JuliaEMcCoy/,https://www.linkedin.com/in/juliaemccoy/,https://www.facebook.com/JuliaEMcCoy/,https://www.instagram.com/fementrepreneur/,https://www.expresswriters.com,"CEO, Author at Express Writers, Content Hacker™","Julia McCoy is a content hacker (noun: growth-focused content marketer). She's the CEO of Express Writers, a content creation agency with over 19,500 successfully completed writing projects since 2011. She's also a bestselling author writing her fourth book, and an industry educator at The Content Hacker™. Read her Write Blog at https://www.expresswriters.com/write-blog and visit her new brand at https://www.contenthacker.com.",Master,5,131
Tim Capper,https://www.semrush.com/user/145705521/,https://twitter.com/GuideTwit/,https://www.linkedin.com/in/tcapper/,,,,,"Tim Capper is the Director of Search at Online Ownership, with 10yrs experience in SEO and SEM. Having owned and operated a restaurant and hotel in the UK’s Lake District, Tim has naturally gravitated towards SEO within the travel market, both nationally and globally. Now Tim is a Google Top Contributor and a moderator in the SEO Questions community on Google+.",Superstar,6,10
Deepak Shukla,https://www.semrush.com/user/146735441/,https://twitter.com/deepakpshukla1/,https://www.linkedin.com/in/deepakseoexpert/,https://www.facebook.com/deepakpshukla1/,https://www.instagram.com/deepakpshukla/,http://www.pearllemon.com/,SEO Director at Pearl Lemon at Pearl Lemon,"Deepak Shukla is the Managing Director at Pearl Lemon; an SEO Agency based in London but operating worldwide and growing aggressively.

We work diligently and comprehensively to outrank our clients competitors for key search terms on Google

Outside of work you'll find Deepak running ultramarathons, Ironmen, getting tattoos and hanging out w/his cat Jenny",Guru,7,74
Guy Sheetrit,https://www.semrush.com/user/147095041/,,,,,,CEO at Over The Top SEO,"Founder and CEO of Over The Top SEO. He holds broad expertise in the areas of SEO, Social Media, Digital Marketing, B2B, B2C Brand Development and online lead generation.",Guru,8,250
Uzair Kharawala,https://www.semrush.com/user/148921953/,https://twitter.com/sfdigital/,https://www.linkedin.com/in/uzairkharawala/,https://www.facebook.com/sfdigitalstudios/,https://www.instagram.com/sfdigital/,https://www.sfdigital.co.uk,Partner at SF Digital Studios,"I run SF Digital Studios along with my wife Farzana. The business was set up in 2002 and we specialise in Google AdWords & YouTube video marketing. I'm a Google Partner & YouTube Certified.
I love Cricket & Photography and follow Chelsea FC.",Master,9,83
Georgi Todorov,https://www.semrush.com/user/146123361/,https://twitter.com/GeorgiTodorovBG/,https://www.linkedin.com/in/georgitodorovbg/,https://www.facebook.com/GeorgiTodorovBG/,,http://digitalnovas.com/,Digital Marketer,"Georgi Todorov is an independent digital marketer, specializing in outreach strategies and international SEO. Besides his passion about digital marketing, he has graduated from university with a bachelor degree in Cultural anthropology which makes him extremely curious about anything ""foreign"" and ""international"". He is always happy to talk with new people and you can reach him at his Facebook, Twitter or Linkedin. He has recently started his own blog about digital marketing",Master,10,169
Jawad Khan,https://www.semrush.com/user/145671553/,https://twitter.com/JawadAliKhn/,,,,https://writingmydestiny.com,Content Marketing Consultant and Pro Blogger at WritingMyDestiny,"Jawad Khan is a content marketing consultant, a certified inbound marketer and a freelance blogger. He helps SaaS companies, tech startups and entrepreneurs find their voice online and connect with their target audience using high quality content. Follow him on Twitter and his blog, WritingMyDestiny.",Guru,11,256
Kevin George,https://www.semrush.com/user/146357553/,https://twitter.com/emailmonks/,https://www.linkedin.com/in/emailmonks/,https://www.facebook.com/emailmonks/,,http://www.emailmonks.com/,Head of Marketing at Email Monks,"Kevin is the Head of Marketing at EmailMonks, one of the fastest growing Email design and coding companies. He loves gadgets, bikes, jazz, and breathes ‘email marketing’. He is a brand magician who loves to engage, share insights with fellow marketers. Check out Kevin's email tutorials and articles at his Email Marketing Blog.",Guru,12,132
Sam Underwood,https://www.semrush.com/user/151703777/,https://twitter.com/SamUnderwoodUK/,,,,https://www.samunderwood.co.uk/,,"Sam Underwood, a digital marketing expert with proficiencies in SEO, data analysis, site speed, CRO/UX and content strategy. 

Sam has experience working on enterprise search strategies for some of the UK's largest brands such as AO, Reiss & Compare The Market.",Master,13,431
Joydeep Bhattacharya,https://www.semrush.com/user/145669937/,https://twitter.com/seoforu/,,,,,,"Joydeep Bhattacharya has over a decade of experience in digital marketing. He maintains a personal SEO blog, Seosandwitch.com where he shares stuff related to SEO, PPC, Social Media and Conversion Optimization.",Superstar,16,21
Sagi Solomon,https://www.semrush.com/user/145849345/,https://twitter.com/SolomonSagi/,https://www.linkedin.com/in/solomonsagi/,,,,,"Sagi is an online marketing expert and the head of SEO at InboundJunction, a premium content marketing agency based in Israel. With his technical and creative abilities, Sagi is constantly looking for the latest SEO trends and tools to formulate a winning search strategy. You can connect with him on LinkedIn and follow him on Twitter.",Master,17,583
Chris Giarratana,https://www.semrush.com/user/146660417/,https://twitter.com/CJGiarratana/,https://www.linkedin.com/in/christophergiarratana/,,,https://www.strategybeam.com/,Content Strategist at StrategyBeam,"Chris is a professional digital marketing consultant with 13 years of experience helping businesses understand and reach their audience in new and interesting ways. He focuses on customer needs balanced with freelance copywriting, PPC, and market analysis.",Master,18,167
Shirish Agarwal,https://www.semrush.com/user/146994049/,https://twitter.com/shirish_aga/,https://www.linkedin.com/in/shirisha/,,,https://www.flow20.com,Founder at Flow20,"Obsessed with PPC and SEO since 2005. Founder of Flow20, a Digital Marketing agency in the UK. Obsessed with analysing data and finding ways to convert traffic into revenue.",Master,19,105
Maria Borysova,https://www.semrush.com/user/148058433/,,https://www.linkedin.com/in/maria-borysova/,https://www.facebook.com/mariya.borysova/,,https://opsway.com/,Marketing strategist,Change is inevitable. Growth is optional. Let's make the world a bit better,Master,21,79
Joel Bondorowsky,https://www.semrush.com/user/148768449/,https://twitter.com/liquidjoel/,https://www.linkedin.com/in/joelbondorowsky/,https://www.facebook.com/liquidjoel/,,,,"Joel Bondorowsky can be described as a true PPC addict. The last thing he does before bed is check his stats, which is also the first thing he does after waking up. It is his love for the job that feeds this addiction. He dabbled with his first small campaigns back in 2000, when PPC was at its infancy. However, it wasn’t until 2010, when he started working at Wix.com, when he got into more extreme PPC. After leaving Wix, Joel started a boutique ad agency called Quality Score where he managed some of the largest PPC campaigns in history. Today, he serves as the SEMrush Academy PPC professor s well as founder of PPCDesigns, a new boutique agency providing tailor made marketing solutions for large, mass market activities.",Superstar,23,91
Aaron Agius,https://www.semrush.com/user/146124849/,https://twitter.com/IAmAaronAgius/,https://www.linkedin.com/in/aaronagius/,https://www.facebook.com/IAmLouderOnline/,,,Co-Founder and Managing Director at Louder Online,"Aaron Agius is an experienced search, content and social marketer. He has worked with some of the world’s largest and most recognized brands, including Salesforce, Coca-Cola, Target and others, to build their online presence. See more from Aaron at Louder Online, his blog, Facebook, Twitter, Google+ and LinkedIn.",Superstar,24,42
Martin Woods,https://www.semrush.com/user/145798961/,https://twitter.com/indigoextra/,,https://www.facebook.com/indigoextra/,,http://www.indigoextra.com/,SEO Director at Indigoextra,"Martin Woods is the International SEO Director at www.indigoextra.com. Martin is a highly accomplished online marketing expert and manages a team of graphic designers, web designers, translators, copywriters and multilingual link builders. 

Indigoextra’s clients experience a rapid growth in traffic as a result of Indigoextra’s professional website analysis, content writing and link building services.

As a result of Google's ongoing updates, particularly RankBrain, SEO shortcuts simply no longer work, which is why we focus on quality, by creating engaging and original content and links from high authority sites.

---

Martin Woods est le directeur SEO international de www.indigoextra.com. Martin est un expert en marketing online hautement qualifié qui gère une équipe de graphistes, de concepteurs web, de traducteurs, de rédacteurs de contenu et de créateurs de liens multilingues.

Les clients d'Indigoextra connaissent une croissance rapide de leur trafic grâce à une perspicacité dans le choix des mots-clés, une analyse de site professionnelle menée par Indigoextra, des services efficaces de rédaction de contenu et de construction de liens.

L'équipe d'Indigoextra pense qu'en raison des mises à jour continues de Google, en particulier RankBrain, qu'il est essentiel de se concentrer sur la qualité en créant un contenu original et engageant mais aussi créer des liens provenant de sites dont le niveau d'autorité est élevé.",Master,25,113
Bartosz Góralewicz,https://www.semrush.com/user/146173345/,https://twitter.com/bart_goralewicz/,https://www.linkedin.com/in/goralewicz/,https://www.facebook.com/goralewicz/,https://www.instagram.com/bartoszgoralewicz/,https://www.onely.com/,CEO at Onely,"Bartosz Goralewicz has been a staple in the SEO industry over the last decade as both the co-founder of Elephate (2018’s “Best Small SEO Agency” in Europe) and a thought leader. His ground-breaking research on JavaScript SEO has been the subject of numerous viral articles and has brought him on stages all over the world to share his knowledge. In 2019, he decided to go even more technical and founded Onely – the one and only technical SEO house. Onely’s specialized team works with Fortune 100 companies and other major international brands while continuing to push the envelope in technical SEO. He is also a husband and father of two.",Master,26,368
Kunal Khullar,https://www.semrush.com/user/149107521/,,https://www.linkedin.com/in/kunal-khullar-cofounder-tbi/,,,https://www.brihaspatitech.com/,Co Founder at The Brihaspati Infotech,"Kunal Khullar is a Co-Founder at The Brihaspati Infotech, a leading IT consulting & service provider. He holds 10+ years of experience with providing software services, development and team management with diverse offshore software consulting firms all across the globe. 
He is passionate about technology and believes in serving today’s diversified business world with his knowledge and expertise.",Guru,27,46
Megha Parikh,https://www.semrush.com/user/146435121/,https://twitter.com/megparikh/,https://www.linkedin.com/in/meghaparikh11/,https://www.facebook.com/meghaparikh11/,,http://www.meghaparikh.com/,Digital Marketer,Megha Parikh is a digital marketing expert has been journeying through the world of digital marketing for more than 7 years. She especially enjoys learning about social media marketing and conversion rate optimization while exploring her social and interpersonal skills.,Pro,28,0
Katie Cunningham,https://www.semrush.com/user/147122145/,https://twitter.com/kac4509/,https://www.linkedin.com/in/kathryncunningham09/,,,http://thektcunningham.com/,SEO Manager at Seer Interactive,"Katie leads SEO strategy for a range of B2B and e-commerce clients at Seer. Using her expertise in Excel and passion for numbers, Katie manages a variety of B2B, E-Commerce, and Healthcare clients.",Master,29,534
